text,category,encode_cat
Is it because a lot of your time is being taken with the first two or?,question,0
"So, this is something that you-you-",reflection,2
"I think it [unintelligible 00:01:18] days yet, and it might not be a bad idea to reconsider the piercing.",therapist_input,1
"You're a star player, who's going to pick on you?",question,0
"-and you are very concerned about your health, you wanna be there for your baby and that you've already taken some steps, you've-you've almost quit smoking-",reflection,2
"Now, it's a discussion you don't really wanna have.",reflection,2
"Okay, um, so if so where we are right now if I understand is you're feeling more comfortable about the concern about muscle weakness?",reflection,2
What did you notice during those three days when you weren't smoking?,question,0
"Right. If that's a deal-breaker and you both know it from the very beginning, I'm wondering if then really the interview is really something else. I mean, whether they get the job would truly be based on the interview and not-not your criminal record.",therapist_input,1
"Oh, this is the first time anything like this has come up?",question,0
"Yeah, there's something wrong with the, uh, with this bit.",reflection,2
"Hi, Sarah, it's great to meet you. My name is Delwyn, and I'm a counselor here at the clinic. And I heard from your nurse practitioner that you recently had an annual exam in which the topics of smoking and alcohol use came up. Would you mind filling me in a little bit about that?",question,0
Tell me about that.,question,0
"I also heard that it's very much a part of your life. It's something that you've done for a really long time and almost impossible to think about yourself as a non-smoker. Does that capture, for you, some of the good things or things that are keeping you smoking?",reflection,2
"Well, I-I need to tell you that the-the medicine that she's taking, the chronic inhaler, which is really essential to controlling her asthma does-- is not a steroid like you're thinking. It's-it's much safer, it's very safe, she-- and she needs to take it to get her asthma under control, and I also want to tell you that, uh, your smoking does affect her asthma, even if- even if it's outside, it gets on her clothes, and to be honest, I'd like to see you quit smoking for you anyway. But, uh, if you want to keep her out of the emergency room, she needs to use that chronic inhaler every day, and you need to watch your smoking.",therapist_input,1
Seven.,therapist_input,1
That's great. What do you think you'll study?,question,0
They do.,other,3
"There's a, uh, your record has a conviction?",question,0
"Not really, okay. Well, have you ever heard of something called Tai Chi? Is that a familiar term to you?",question,0
"I think you're wrong. You know, it really worries me. Anyway, um, I wish you would quit. If all you're going to do is cut down, that's better than nothing. You know, I appreciate you talking to me about this, but I'm gonna keep talking to you about it. It's really important.",therapist_input,1
"I have one, um, idea that is jumping into my mind as you're talking. Is it okay if I share that?",question,0
When did you start?,question,0
"Mm-hmm. So, when do you think you're gonna do that?",question,0
"Yeah, okay, so that will be a call you-you've got to make.",other,3
"- but you perhaps feel you've not had enough investigations. And at times, you worry that this could be something quite serious like a-",reflection,2
It does kinda come off as nosy at times I'm sure.,reflection,2
That's fine.,other,3
Okay. So exploring some yoga classes. Is-is doing yoga in your living room appealing to you at all?,question,0
"So weighing those things, you know, what you like about your drinking, what you don't like about your drinking, uh, where do you wanna go from here? Uh, what would you like to change about your drinking?",question,0
"Sarah, So what do you think Sarah would say?",question,0
"Excellent. John, I get the impression that you want to stay in course with weight reduction. And the best way to do this will be to decrease the amount of juice that you're currently taking in. So if I saw you in two weeks and I asked you how much juice you're t- drinking and how you did it, what would you tell me?",reflection,2
-and that you don't have to sign a contract and you're right. It's hard to tell what the cost is just from looking on the website.,reflection,2
"Well, it's very much up to you, you're the boss of your own life. Where would you like to start?",question,0
"You decided to drink more than you intended because you were disappointed at how the Vikings were playing. And when your roommate couldn't give you a ride home, you decided to drive yourself home. Did I get that right?",therapist_input,1
-now that you're with Donna?,question,0
-things may happen in life.,reflection,2
"Well, the question is, I suppose, that I have for you is, where would you think, for you, would be a good place to start? If you were gonna make any changes, even small changes at the beginning, rather than just thinking, oh, I got to change everything, which it sounds like you're not prepared to, you know, do a whole lifestyle change, and I don't think that's what we're talking about here. Where would you feel most comfortable to start if you were gonna make any changes at all?",question,0
Okay. I respect that. Thanks though for coming in to see me today.,other,3
As long as I don't talk too much?,reflection,2
"Yeah. Well, a big bowl of vegetable soup. You could probably count that as one or maybe even two of your five a day. So it'd be a really good place to start. Anything else you could think about doing?",reflection,2
"Okay. So, you want your son to grow up in a great environment and to have more than you had?",reflection,2
-position?,question,0
"Okay. You're sure? Okay. All right. Um, well, that's probably it then. You can, uh, head back to class and-and thanks for coming in.",other,3
"Well, I mean, 24 hours in a weekend sounds to me like it might be a lot of time.",therapist_input,1
The number. Just the number.,therapist_input,1
"'Cause, you know, the problem is if they're drinking, they're gonna pressure you into drinking and then you're gonna feel awkward and, you know, you're gonna be stuck and-and not know what to do and really you'd just be better off probably without them. If they're- if they're the kind of people who are gonna keep drinking-",reflection,2
One.,other,3
You've really had a good week.,reflection,2
Mm. What does being a good parent look like? Tell me more about that.,question,0
"Well, that's great. That's halfway there. What kept you from just giving it a one or two, something lower?",question,0
"Hi, my name is Beth. I'm the nurse that works with the nurse practitioner Mrs. Smith that you just saw. Do you have a moment to talk?",therapist_input,1
"All right, so, I guess just to get started, can you tell me a little bit about yourself?",question,0
"We don't really recommend that. The idea is you would use the nicotine replacement to actually quit, so then you wouldn't be smoking at work, but you also wouldn't be smoking the rest of the time either.",therapist_input,1
Would it be okay if I shared a little more information with you about the flu vaccine and the importance of it?,question,0
"Yeah, caught the bus to-to that-- to the stop outside the office?",reflection,2
"Okay. Um, so gosh, you're-you're actually really drinking quite a lot. Um, you know, your level of drinking puts you in what we call a high-risk group.",therapist_input,1
Smart girl.,reflection,2
Yeah. You're-you're-you're it.,reflection,2
For your family?,question,0
Do you have a plan as to where you might want to go or?,question,0
Yeah. Okay. So physical activity is feeling like the easiest change to look at first.,reflection,2
That's a really good decision.,other,3
"Okay. So, what's the longest you've ever gone without a cigarette including being in the hospital?",question,0
"All right. Well, maybe it's something we can work on together. And, you know, I think we should come up with a plan that's gonna work for you so that you can get control here and stop drinking.",therapist_input,1
"Not like you're working for the government or for a bank or, you know, the FBI where- those are not things you're applying for. They're jobs where you would wonder why a-a non-violent felony would even--",reflection,2
"Uh-huh. So, you're wanting to get home to your dog, your garden, back to your life, your independence?",reflection,2
"And that's helping keep you in check, as you said?",reflection,2
"Okay, so actually having someone listen to you and hear about what you're saying is important to you?",reflection,2
Hi Mr. Johnson?,question,0
And-and it's hard to replace it with something.,therapist_input,1
"So tell me a little bit about what you're doing, what is- what is the concern that they are raising.",therapist_input,1
Why not a one or a two?,question,0
"So, what happened. So first of all, tell me what you did, exactly.",other,3
Okay. Okay.,other,3
A seven. Why do you think you picked that instead of a lower number like five?,therapist_input,1
"That's interesting isn't it? You-- 'cause you kind of mentioned it there, like, you know, on one side of the coin, um, it helps calm the nerves to get yourself get out there and-",reflection,2
"-and, again, I'll get some out and I'll show you what they look like. This course of medication lasts for 10 to 12 weeks. And we strongly recommend that people stay on the whole course of medication and that that gives you the best chance of success. Stopping smoking is not easy but it's possible and with the type of support that we offer here in the pharmacy, you absolutely make your chance of success four times greater than trying on your own, so, that's why it's really good that you've come to see me. Now, what you said is you really want to do it and that next week sounds like a good day for you to start because the party is over and done with.",therapist_input,1
Not going to bed on time.,reflection,2
"Well, there's a lot of things you can do yourself that will improve the situation as well. So what we can do today is wee up some of those things, smoking, diet, exercise, weight, loss, all those kinds of things. So we're just gonna start and see how you feel as we go.",therapist_input,1
"Yeah. It sounds so crazy, doesn't it? Like the- it- when it feels like inside, what you're- what I'm hearing from you is that it feels like inside like moving is unsafe.",reflection,2
How were you successful when you quit before?,question,0
And what would you like me to do if you don't come back?,question,0
"Yeah? So, what-what would interest you about going down that same, sort of, path?",question,0
Thank you.,other,3
So we're looking good.,reflection,2
And you're not experiencing where these two things are separate? They just seem to be together more often than not?,question,0
"Okay. So, that might be good, is really just to focus more on band. Um, because you know, the other big concern I have for you is if you wanna go to medical school, you're not ever gonna get into medical school if you're drinking like this.",other,3
It feels like it was like two days was a year?,question,0
But they go together so well. And sugar in the coffee?,question,0
"Well, this writing business. What's really getting in the way?",question,0
"All right. yeah, I was told that you're phone calls was taken away",reflection,2
"All right, so, um, it sounds like, in general, your-- Things are going pretty well for you. How are your grades right now?",question,0
All right. Okay. Can you tell me a bit more about your tummy problems?,question,0
Would you be open to kind of looking at the low-risk drinking alcohol guidelines?,question,0
"-amongst the people you typically drink with. But these limits are-- they're actually recommended for all adults. And studies have shown that when you drink more than this, it creates a bunch of problems like we talked about. So, you know, why do you think you drink the amount you drink?",therapist_input,1
"So you've made a decision in your life not to smoke cigarettes, that's something you didn't want to do. It sounds like you're kinda concerned about the health effects of cigarettes. But you have been smoking the little cigarillos at least one or two every time you go out.",reflection,2
"That's a great word for it there. Yeah. So, um-",reflection,2
"Can I ask you, uh, what do you like about drinking alcohol?",question,0
How's that going?,question,0
"So that was helpful for you that it's a, um, I can't remember. I know what you're trying to get a little ball.",reflection,2
"What else? Are the-the-the-the problem of around the use of money, you know, the choices that you make around money, and the meth use has taken up quite a lot of the money-",question,0
"An eight. Okay. And on a scale of 1 to 10, how confident are you at the present time that you- that you can use effective birth control?",question,0
"Okay, okay. Now, have you thought about when you wanted to quit by?",question,0
"All right, and he's right. This medication will help lower your cholesterol, and it will help lower your risk of having a heart attack or a stroke. How did the doctor tell you to take this medicine?",therapist_input,1
"There might be something [unintelligible 00:06:43] because you're such a social guy. And so to be able to be exercising and be talking and enjoying yourself- you like the music too, right?",reflection,2
She doesn't want to get you in trouble and I heard you say earlier on that you've been keeping out of trouble.,reflection,2
"So 'cause-'cause I asked the question before, is what might be the hardest thing, and you'd identified that your friends, you know, could be one of the habits.",question,0
You kind of got a reality check today.,reflection,2
"-How could it be the right one? Ending your life hurting yourself when it's just you and your mom. And you just said, she's a single parent. She doesn't have a husband, you don't have a dad. It's just the two of you. So how could it be the right choice? But I understand your pain and I know where you're coming from. And I know that the release that you feel physically is something that helps you in the moment. Are there other things that we can help you find to start replacing, um, that behavior?",question,0
That must be really scary.,reflection,2
"So, you were thinking because your-your friends weren't pressuring you to stop drinking, that-that it must be okay.",reflection,2
Might get you into trouble [unintelligible 00:05:06],reflection,2
You wanna stop getting into trouble.,reflection,2
"Yeah. That's all right, yeah. That's good. It sounds like you know yourself pretty well.",reflection,2
Absolutely. Yeah.,other,3
"But well, it's my job too, uh, to-to help you understand how to use your medicine and, uh, give you information about getting the most benefits from it.",other,3
Yeah there's possible.,other,3
-concern about being safe.,reflection,2
Haven't quite that-,other,3
"-um, try to tackle, um, your childcare issue, um, with some assistance. Is there anything else you'd like to do, um, for example, would you be interested in talking with me again, um, just as things progress?",question,0
Okay. So what about maybe sharing a little bit about your alcohol intake and maybe a little bit about what your- what your life's like a little bit for me today?,question,0
"Uh, that it's okay with you, and you-you know that it's gonna change because that's been your, uh, experience.",reflection,2
A gastroscopy.,other,3
So how are you feel in your head-,question,0
"Um, and I know some clients have expressed just really valuing their freedom. They didn't realize how much they really valued that until it was gone.",other,3
"Well, what can be more important to you than the health of your child?",other,3
Yeah. So that's-that's some work that we can continue to work with. Yeah? Yeah?,other,3
-every day.,reflection,2
What kind of plan could you put in place to make sure you meet these goals?,question,0
So what stopped you over the last-- How long have you been out now?,question,0
"Yeah. Oh, okay. So-so, what about that? The-- Is there other incidences that you could think of that seems, uh, um, alcohol was there, and then your luck just sorta took a-a turn, or it was just those two times?",question,0
I get the feeling that your relationship is really important to you. That you would do anything.,reflection,2
Okay. And do you notice a big difference or can you tell me about the difference in your enjoyment level at say a party versus a night you're playing board games?,question,0
"Yeah, it does- it does sound as though over the last few years your life has really changed-",reflection,2
"Okay. So, um, but you gave it a good try and it was just not a good fit for you like you-you really listened to what your body told you like nightmares, nausea, I mean those are really bad things.",reflection,2
"So, what's been different since the last time we talked a week ago?",question,0
"And so sometimes he's gone away from home for, what like, days, weeks?",question,0
"What you've been thinking about, um, over the last little while about getting your life back on track. 'Cause I noticed you've—",question,0
"But on the other hand, it does sound like there are things that you- that you value that you don't want the drinking to interfere with.",reflection,2
Mm-hmm. Okay. Okay. So you think it began about four years ago after this holiday?,reflection,2
Sure.,other,3
That's great. That's really exciting to think about that-,other,3
"Yeah, like sort of-",other,3
Good.,other,3
And you also mentioned you'll perhaps go and- back and see the doctor and just give him a bit of an update as to-,reflection,2
Which build people up and have masculinizing effects.,therapist_input,1
Hmm-hmm.,other,3
Two max. How many drinks would you say you'd have over the course of a week?,question,0
"Good to know, excellent.",other,3
"So, you might have to literally like pack his bags and help them get to those places, um.",reflection,2
"Mm-hmm. It's, uh, I mean the lesser of two evils is that what we're getting at-",therapist_input,1
"What were you hoping to achieve with the, um, by going to tai chi?",question,0
Right. Six months. That's a long time.,reflection,2
"I really need you to quit smoking. Both for your health and for Aiden. Did you know s-smoking around your child is associated not only with ear infections, it could get to the point where you have to put tubes in his ears pretty shortly here. Also, things like vitamin C deficiency, cavities, like dental cavities, behavior problems, um, asthma, other upper respiratory infections. It's really putting him at a lot of risk. In addition to that, kids of smokers end up smoking themselves. Do you want him to grow up to be a smoker?",therapist_input,1
What's that been like for you in the past?,question,0
[chuckles] Have you ever tried not drinking or stopping drinking?,question,0
"All right. Yeah. I mean, we got to have a deal here if you're going to be on the team. Okay?",therapist_input,1
"Yeah. Yeah. So, if you had- if you had consistent work, it would change your life in a lot of ways.",reflection,2
And you're not allowed to vote.,therapist_input,1
Okay. What do you know about how that's dangerous?,question,0
"Right. Right, right. So the appointments and time.",reflection,2
